,clustering,closeness,betweenness,average_shortest_path_lenght,eigenvector,assortativity,information_centrality,approximate_current_flow_betweenness_centrality,shannon_entropy,degree_variance
barabasi_nonlinear_15_20.edgelist,0.0237649866974892,0.4513293520877784,613.7019999999999,2.226404,0.056745555778246,-0.3300371388098223,0.0029419585901132,0.0035130475877736,2.586272674468657,176.38027100557477
barabasi_nonlinear_15_28.edgelist,0.0235653398689713,0.4665861191522193,576.5519999999999,2.152104,0.0562655301719159,-0.3366168486818364,0.0029350214782171,0.0034170694262597,2.560045007264462,198.31960736817396
barabasi_nonlinear_15_24.edgelist,0.0245261691333035,0.4432108732530346,634.6299999999997,2.26826,0.0598243475335113,-0.3053514810561751,0.0029674405793165,0.0037786840581889,2.65971444277742,159.348412815022
barabasi_nonlinear_15_26.edgelist,0.024813102373714,0.4493111238972713,618.931,2.236862,0.0607278479528808,-0.3426027556143176,0.0029585416172905,0.0037657399512791,2.6331420937464576,162.52384440444425
barabasi_nonlinear_15_6.edgelist,0.0238569518091443,0.4600471636947739,592.4329999999998,2.183866,0.0549337159671149,-0.3201438404762792,0.0029612711806853,0.0034599384912726,2.637959376335534,194.27815111329423
barabasi_nonlinear_15_35.edgelist,0.025968287759959,0.437378112657043,649.1890000000001,2.297378,0.058633840851049,-0.3200641219588385,0.0029569375725174,0.003607421692281,2.615938726809995,153.8635759366069
barabasi_nonlinear_15_11.edgelist,0.0258411326214765,0.4435858401591091,633.4499999999999,2.2659,0.0605538533638994,-0.3386458668857571,0.0029476936938739,0.003539856418959,2.596028497811224,156.75033226971695
barabasi_nonlinear_15_10.edgelist,0.0223508544186931,0.4681294971484857,572.6309999999997,2.144262,0.0556223124790534,-0.3629588104510512,0.0029399672153492,0.0035011057758837,2.574672247015068,204.67046684854168
barabasi_nonlinear_15_90.edgelist,0.0234602579262133,0.4578485342017567,597.9649999999997,2.19493,0.051138514650116,-0.3035687586909383,0.0029515812411668,0.0035215419438418,2.6021356108975744,204.959142269868
barabasi_nonlinear_15_71.edgelist,0.0227196129139901,0.4539070496837148,607.8269999999999,2.214654,0.0547799142185224,-0.3122059795688049,0.002968366600317,0.0034156203916804,2.655472546524797,184.7518606130937
barabasi_nonlinear_15_41.edgelist,0.0253470827359738,0.4428032271400622,635.4730000000001,2.269946,0.0590844250363533,-0.3322414937521761,0.0029637168985056,0.0036638366499656,2.641267677103424,159.92576402818904
barabasi_nonlinear_15_23.edgelist,0.0265309602472556,0.4316470200684225,663.9299999999997,2.32686,0.0630380874802834,-0.3377118620637704,0.0029729228257605,0.0037236739472086,2.671769105496937,137.40906083661295
barabasi_nonlinear_15_59.edgelist,0.0242494876648467,0.4580315000373269,597.304,2.193608,0.0568263375930592,-0.336406340401246,0.0029407796800613,0.0035261802493848,2.57845540374845,185.32921158486232
barabasi_nonlinear_15_43.edgelist,0.0256396738366371,0.4401734602520454,642.3479999999996,2.283696,0.054225437421943,-0.3094567048774235,0.0029840628648955,0.0036563230994947,2.707701064322376,171.47278695660916
barabasi_nonlinear_15_12.edgelist,0.0253292488152279,0.4489646490129252,619.3310000000004,2.237662,0.0600186035949792,-0.3390004440270103,0.002946579803575,0.0034258107154312,2.588067171441168,163.96722233422142
barabasi_nonlinear_15_13.edgelist,0.0233935654809854,0.4410726421687537,639.8809999999996,2.278762,0.0660340960648623,-0.3269651827600831,0.002959644892748,0.0035975855373711,2.636945446268385,143.1825757555716
